No.,Year,Junior
1,2023,C 
2,2023,C 
3,2023,E 
4,2023,C 
5,2023,E 
6,2023,B 
7,2023,A 
8,2023,C 
9,2023,D 
10,2023,E 
11,2023,B 
12,2023,C 
13,2023,B 
14,2023,B 
15,2023,C 
16,2023,D 
17,2023,E 
18,2023,D 
19,2023,B 
20,2023,D 
21,2023,A 
22,2023,D 
23,2023,A 
24,2023,D 
25,2023,B 
1 ,2022,B 
2 ,2022,A 
3 ,2022,C 
4 ,2022,C 
5 ,2022,E 
6 ,2022,E 
7 ,2022,A 
8 ,2022,C 
9 ,2022,C 
10 ,2022,D 
11 ,2022,D 
12 ,2022,B 
13 ,2022,B 
14 ,2022,B 
15 ,2022,D 
16 ,2022,C 
17 ,2022,E 
18 ,2022,A 
19 ,2022,A 
20 ,2022,B 
21 ,2022,B 
22 ,2022,E 
23 ,2022,D 
24 ,2022,D 
25 ,2022,C 
1 ,2021,E 
2 ,2021,A 
3 ,2021,C 
4 ,2021,B 
5 ,2021,B 
6 ,2021,E 
7 ,2021,B 
8 ,2021,C 
9 ,2021,D 
10 ,2021,C 
11 ,2021,A 
12 ,2021,C 
13 ,2021,B 
14 ,2021,E 
15 ,2021,E 
16 ,2021,A 
17 ,2021,D 
18 ,2021,B 
19 ,2021,D 
20 ,2021,E 
21 ,2021,C 
22 ,2021,A 
23 ,2021,B 
24 ,2021,A 
25 ,2021,D 
1 ,2020,B 
2 ,2020,D 
3 ,2020,E 
4 ,2020,A 
5 ,2020,B 
6 ,2020,C 
7 ,2020,B 
8 ,2020,E 
9 ,2020,C 
10 ,2020,A 
11 ,2020,D 
12 ,2020,B 
13 ,2020,B 
14 ,2020,B 
15 ,2020,A 
16 ,2020,C 
17 ,2020,E 
18 ,2020,D 
19 ,2020,A 
20 ,2020,D 
21 ,2020,B 
22 ,2020,C 
23 ,2020,E 
24 ,2020,D 
25 ,2020,C 
1 ,2019,D 
2 ,2019,B 
3 ,2019,E 
4 ,2019,C 
5 ,2019,B 
6 ,2019,B 
7 ,2019,C 
8 ,2019,B 
9 ,2019,A 
10 ,2019,B 
11 ,2019,C 
12 ,2019,C 
13 ,2019,E 
14 ,2019,B 
15 ,2019,D 
16 ,2019,B 
17 ,2019,A 
18 ,2019,C 
19 ,2019,D 
20 ,2019,E 
21 ,2019,A 
22 ,2019,E 
23 ,2019,B 
24 ,2019,D 
25 ,2019,C 
